,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Austria,2.3,-0.1,1.9,2.8,0.3,2.2,2.3,1.7,1.0,3.9,4.3,3.4,2.1,0.5,2.4,2.7,2.4,2.1,3.6,3.6,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.4,1.5,-6.5,4.6,5.0,0.4,1.8521341128715694,1.8521341128715694,1.8521341128715694,1.8521341128715694,1.8521341128715694
Azerbaijan,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,4.458333333333332,-23.1,-19.7,-13.0,2.5,8.9,6.0,11.4,6.2,6.5,9.4,10.2,9.3,28.0,34.5,25.5,10.6,9.4,4.8,-1.6,2.2,5.8,2.8,1.0,-3.1,0.2,1.5,2.5,-4.2,5.6,4.6,3.0,4.602215570398215,4.602215570398215,4.602215570398215,4.602215570398215,4.602215570398215
"Bahamas, The",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.3,2.3,1.1,-4.2,-3.8,0.3,3.1,4.4,4.2,4.9,4.7,7.1,4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,0.6,3.1,-2.9,1.8,1.0,-0.9,3.1,1.8,1.9,-23.8,13.7,11.0,4.3,1.8749950481077025,1.8749950481077025,1.8749950481077025,1.8749950481077025,1.8749950481077025
Bahrain,7.5,2.8,6.4,7.0,4.2,-0.9,0.5,-1.2,6.0,1.0,3.5,2.3,7.1,7.6,3.2,1.9,3.2,2.3,4.8,6.0,7.0,2.5,3.3,6.3,7.0,6.8,6.5,8.3,6.2,2.5,4.3,2.0,3.7,5.4,4.4,2.5,3.6,4.3,2.1,2.2,-4.6,2.7,4.2,3.0,3.9250976278425966,3.9250976278425966,3.9250976278425966,3.9250976278425966,3.9250976278425966
Bangladesh,4.185790230187187,3.8,2.4,4.0,5.2,3.2,4.2,3.7,2.2,2.6,5.9,3.3,5.0,4.6,4.1,4.9,4.6,4.5,5.2,4.7,5.3,5.1,3.8,4.7,5.2,6.5,6.7,7.1,6.0,5.0,5.6,6.5,6.5,6.0,6.1,6.6,7.1,6.6,7.3,7.9,3.4,6.9,7.1,5.5,6.246251824948104,6.246251824948104,6.246251824948104,6.246251824948104,6.246251824948104
Barbados,4.4,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2.0,2.0,4.0,4.7,3.7,0.3,4.5,-2.4,0.8,2.2,1.4,4.0,5.7,2.2,0.7,-5.1,-2.3,-0.7,-0.4,-1.4,-0.1,2.4,2.5,0.5,-0.6,-0.5,-13.3,-0.2,10.0,4.9,0.8887440581511425,0.8887440581511425,0.8887440581511425,0.8887440581511425,0.8887440581511425
Belarus,1.3542926250312943,1.3542926250312943,4.0,4.3,3.0,1.7,3.6,2.8,5.3,3.0,-2.3,-1.2,-9.6,-7.6,-11.7,-11.1,2.8,11.4,8.4,3.4,5.8,4.7,5.0,7.0,11.4,9.5,10.0,8.6,10.2,0.2,7.8,5.3,1.6,1.0,1.7,-3.8,-2.5,2.5,3.1,1.4,-0.7,2.3,-4.7,0.7,2.187470843208587,2.187470843208587,2.187470843208587,2.187470843208587,2.187470843208587
Belgium,4.4,-0.3,0.6,0.3,2.5,1.7,1.8,2.3,4.7,3.5,3.1,1.8,1.5,-1.0,3.2,2.4,1.3,3.8,2.0,3.5,3.7,1.1,1.7,1.0,3.6,2.3,2.6,3.7,0.4,-2.0,2.9,1.7,0.7,0.5,1.6,2.0,1.3,1.6,1.8,2.2,-5.4,6.1,3.1,0.7,1.863631382138011,1.863631382138011,1.863631382138011,1.863631382138011,1.863631382138011
Belize,5.0,0.2,-7.6,6.1,11.3,-1.4,7.3,22.0,10.9,15.5,11.2,11.5,12.0,6.3,0.2,0.6,1.1,3.6,3.9,9.0,13.0,5.0,5.1,9.3,4.6,2.4,4.4,3.3,-1.5,-0.4,1.3,-0.1,3.9,4.5,4.1,3.4,0.1,-1.7,1.1,4.5,-13.4,15.2,11.4,3.0,4.7872393286420145,4.7872393286420145,4.7872393286420145,4.7872393286420145,4.7872393286420145
Benin,9.3,1.9,1.7,-2.0,0.4,4.3,2.7,-2.1,3.4,-2.8,9.0,4.2,3.0,5.8,2.0,6.0,4.3,5.7,4.0,4.4,5.9,5.3,4.6,3.4,4.4,1.7,3.9,6.0,4.9,2.3,2.1,3.0,4.8,7.2,6.4,1.8,3.3,5.7,6.7,6.9,3.8,7.2,6.0,6.0,5.317030811713494,5.317030811713494,5.317030811713494,5.317030811713494,5.317030811713494
Bhutan,5.0,13.6,8.2,7.3,7.6,4.3,8.0,20.2,15.1,6.2,9.1,4.9,2.1,3.2,2.2,6.0,6.0,5.5,6.0,7.1,6.9,7.0,9.5,9.3,6.9,6.7,7.1,12.9,11.0,5.8,9.5,9.9,6.5,3.6,4.0,6.2,7.4,6.3,3.8,4.4,-2.3,-3.3,4.3,4.7,6.556469697720803,6.556469697720803,6.556469697720803,6.556469697720803,6.556469697720803
Bolivia,0.6,0.3,-3.9,-4.0,-0.2,-1.7,-2.6,2.5,2.9,3.8,4.6,5.3,1.6,4.3,4.7,4.7,4.4,5.0,5.0,0.4,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.2,2.2,-8.7,6.1,3.2,1.8,2.558845282322359,2.558845282322359,2.558845282322359,2.558845282322359,2.558845282322359
Bosnia and Herzegovina,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,6.476470588235294,20.7,62.2,22.9,13.8,10.7,4.4,2.4,5.1,3.9,6.3,4.2,5.7,6.0,5.6,-0.8,0.8,0.9,-0.7,2.4,1.1,4.3,3.2,3.2,3.8,2.9,-3.0,7.4,3.8,2.0,6.751046048395254,6.751046048395254,6.751046048395254,6.751046048395254,6.751046048395254
Botswana,12.0,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4.0,-0.8,8.5,2.5,7.1,-1.6,8.0,4.3,2.3,7.4,5.4,1.4,5.0,6.0,5.8,3.3,-14.1,10.1,6.8,-0.2,11.1,5.7,-4.9,7.2,4.1,4.2,3.0,-8.7,11.8,6.4,3.7,3.788465518355405,3.788465518355405,3.788465518355405,3.788465518355405,3.788465518355405
Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1.0,-0.5,4.7,5.3,4.4,2.2,3.4,0.3,0.5,4.4,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,3.0,0.5,-3.5,-3.3,1.3,1.8,1.2,-3.3,5.0,2.9,0.9,2.293176767886496,2.293176767886496,2.293176767886496,2.293176767886496,2.293176767886496
Brunei Darussalam,1.7318171287696678,1.7318171287696678,1.7318171287696678,1.7318171287696678,1.7318171287696678,1.7318171287696678,-2.7,2.0,1.1,-1.1,1.1,3.1,4.8,0.3,3.1,4.5,2.9,-1.5,-0.6,3.1,2.9,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,1.1,-1.6,-1.5,3.3,1.1837244552014945,1.1837244552014945,1.1837244552014945,1.1837244552014945,1.1837244552014945
Bulgaria,5.7,5.3,4.2,3.0,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.8,-8.4,-11.6,-3.7,-1.6,-8.0,-14.1,3.8,-8.4,4.6,3.8,5.9,5.2,6.5,7.1,6.8,6.7,6.1,-3.3,1.5,2.1,0.8,-0.6,1.0,3.4,3.0,2.8,2.7,4.0,-4.0,7.6,3.4,1.4,1.294161097645594,1.294161097645594,1.294161097645594,1.294161097645594,1.294161097645594
Burkina Faso,4.0,2.7,1.4,-1.2,1.6,11.3,8.0,-0.2,5.8,2.2,-0.6,9.1,0.2,3.5,1.3,5.7,11.0,6.3,7.3,7.3,1.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3.0,8.4,6.6,6.5,5.8,4.3,3.9,6.0,6.2,6.6,5.7,1.9,6.9,2.5,4.9,4.909085858331485,4.909085858331485,4.909085858331485,4.909085858331485,4.909085858331485
Burundi,-6.8,12.2,-1.1,3.7,0.2,11.8,3.2,5.5,5.0,1.3,3.5,5.8,1.0,-6.2,-3.8,-7.9,-8.0,0.4,4.8,1.2,1.8,1.7,2.4,2.5,3.8,4.4,5.4,3.5,4.9,3.8,5.1,4.0,4.4,4.9,4.2,-3.9,-0.6,0.5,1.6,1.8,0.3,3.1,1.8,3.3,2.047630395969606,2.047630395969606,2.047630395969606,2.047630395969606,2.047630395969606
Cabo Verde,5.3,8.4,2.8,9.5,3.8,8.6,2.9,4.3,6.0,5.7,0.7,1.4,3.0,7.3,6.9,7.5,6.7,7.6,8.4,11.9,7.3,6.1,5.3,7.5,4.9,5.8,9.1,9.2,6.7,-1.3,1.5,4.0,1.1,0.8,0.6,1.0,4.7,3.7,14.6,5.7,-14.8,7.0,10.5,4.4,5.093176762645803,5.093176762645803,5.093176762645803,5.093176762645803,5.093176762645803
Cambodia,7.604966401027595,7.604966401027595,7.604966401027595,7.604966401027595,7.604966401027595,7.604966401027595,7.604966401027595,7.604966401027595,9.6,3.3,1.1,7.6,7.1,4.0,8.2,6.0,5.9,4.0,4.7,12.7,9.6,8.6,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6.0,7.1,7.3,7.4,7.1,7.0,6.9,7.0,7.5,7.1,-3.1,3.0,5.0,5.8,6.840910582613995,6.840910582613995,6.840910582613995,6.840910582613995,6.840910582613995
Cameroon,9.9,17.1,7.6,6.8,7.5,8.1,6.8,-2.2,-7.9,-1.8,-6.2,-3.8,-3.1,-3.2,-2.5,3.3,4.9,5.3,4.9,4.1,3.4,3.4,4.8,5.0,6.6,1.2,3.5,4.1,2.9,2.6,2.9,3.5,4.5,5.0,5.8,5.6,4.5,3.5,4.0,3.4,0.5,3.6,3.4,4.3,3.7760382324452615,3.7760382324452615,3.7760382324452615,3.7760382324452615,3.7760382324452615
Canada,2.2,3.5,-3.2,2.6,5.9,4.7,2.1,4.1,4.4,2.3,0.2,-2.1,0.9,2.7,4.5,2.7,1.6,4.3,3.9,5.2,5.2,1.8,3.0,1.8,3.1,3.2,2.6,2.1,1.0,-2.9,3.1,3.1,1.8,2.3,2.9,0.7,1.0,3.0,2.8,1.9,-5.1,5.0,3.4,1.5,2.2909040607582707,2.2909040607582707,2.2909040607582707,2.2909040607582707,2.2909040607582707
Central African Republic,-3.0,13.0,-3.6,-6.0,9.9,3.7,7.2,0.0,1.7,3.8,1.4,-0.8,-4.9,-1.2,12.6,3.2,-6.2,4.1,3.3,2.9,-3.6,2.6,2.1,-2.2,-0.1,2.9,4.8,4.0,2.6,2.8,4.6,4.2,5.1,-36.4,0.1,4.3,4.7,4.5,3.8,3.0,1.0,1.0,0.4,2.5,1.3590859932356212,1.3590859932356212,1.3590859932356212,1.3590859932356212,1.3590859932356212
Chad,-6.0,-10.8,5.4,15.7,5.3,7.9,6.0,3.6,7.5,2.0,3.2,10.4,2.4,-2.1,5.5,-0.8,2.1,5.7,7.0,-0.7,-0.9,11.7,8.5,14.7,33.6,8.3,0.6,3.3,3.1,4.1,13.6,0.1,8.8,5.8,6.9,1.8,-5.6,-2.4,2.4,3.4,-2.1,-1.1,2.5,3.5,4.3561197260016495,4.3561197260016495,4.3561197260016495,4.3561197260016495,4.3561197260016495
Chile,7.9,6.2,-13.6,-2.8,5.9,2.0,5.6,6.6,7.3,10.6,3.7,7.8,11.2,6.6,5.0,8.9,5.0,7.4,4.2,-0.3,5.0,3.2,3.2,4.7,6.7,5.8,6.0,5.2,3.8,-1.1,5.9,6.2,6.2,3.3,1.8,2.2,1.8,1.4,4.0,0.7,-6.1,11.7,2.4,-1.0,4.041459726003589,4.041459726003589,4.041459726003589,4.041459726003589,4.041459726003589
"China, People's Republic of",7.9,5.1,9.0,10.8,15.2,13.5,8.9,11.7,11.2,4.2,3.9,9.0,14.3,13.9,13.0,11.0,9.9,9.2,7.9,7.7,8.5,8.3,9.1,10.0,10.1,11.4,12.7,14.2,9.6,9.4,10.6,9.6,7.8,7.8,7.4,7.0,6.9,6.9,6.8,6.0,2.2,8.4,3.0,5.2,8.848763583004484,8.848763583004484,8.848763583004484,8.848763583004484,8.848763583004484
Colombia,4.4,2.3,0.9,1.6,3.4,3.1,5.8,5.4,4.1,3.4,4.3,2.4,4.4,5.7,5.1,5.2,2.1,3.4,0.6,-4.2,2.9,1.7,2.5,3.9,5.3,4.4,6.7,6.7,3.3,1.1,4.5,6.9,3.9,5.1,4.5,3.0,2.1,1.4,2.6,3.2,-7.3,11.0,7.5,1.0,3.4386313392999055,3.4386313392999055,3.4386313392999055,3.4386313392999055,3.4386313392999055
Comoros,7.4,5.5,4.1,3.1,4.2,2.9,2.2,2.2,5.1,-0.8,7.4,-6.2,7.4,2.5,-4.0,5.6,-0.5,4.4,0.0,2.7,-1.0,5.4,4.6,2.0,3.1,5.7,-1.8,0.8,4.0,3.2,3.8,4.1,3.2,4.5,2.1,1.1,3.3,3.8,3.6,1.8,-0.2,2.1,2.4,3.0,2.7189649881850477,2.7189649881850477,2.7189649881850477,2.7189649881850477,2.7189649881850477
"Congo, Dem. Rep. of the",2.4,0.9,-0.5,1.4,4.8,0.5,4.7,2.7,0.5,-1.3,-6.6,-8.4,-10.5,-13.5,-6.1,2.8,-1.9,-7.8,-3.9,-3.8,-8.1,-2.1,2.9,6.6,7.7,9.8,5.1,8.5,7.4,0.6,7.8,7.6,8.7,9.6,7.3,6.4,0.4,3.7,4.8,4.5,1.7,6.2,6.6,6.3,6.3,6.3,6.3,6.3,6.3
"Congo, Republic of ",12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1.0,3.4,4.2,1.3,-1.4,4.0,3.5,-1.0,8.9,-3.7,11.8,-4.8,1.0,0.5,-0.2,9.2,8.0,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.8,-4.4,-4.8,1.0,-6.2,1.5,2.8,4.1,3.120449962822924,3.120449962822924,3.120449962822924,3.120449962822924,3.120449962822924
Costa Rica,0.8,-2.3,-7.3,2.9,8.0,0.7,5.5,4.8,3.4,5.7,3.6,2.3,9.2,7.1,4.5,4.2,1.4,5.5,7.2,4.2,3.9,3.5,3.4,4.3,4.4,4.0,7.3,8.2,4.7,-0.9,5.4,4.4,4.9,2.5,3.5,3.7,4.2,4.2,2.6,2.4,-4.3,7.8,4.3,2.7,3.6775087795258363,3.6775087795258363,3.6775087795258363,3.6775087795258363,3.6775087795258363
Croatia,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,2.408333333333333,-8.0,5.9,6.6,5.9,6.6,1.9,-0.9,3.7,3.1,5.8,5.6,4.2,4.3,4.9,5.0,2.0,-7.2,-1.2,-0.1,-2.3,-0.4,-0.4,2.5,3.6,3.4,2.8,3.4,-8.6,13.1,6.3,1.7,2.375184259707759,2.375184259707759,2.375184259707759,2.375184259707759,2.375184259707759
Cyprus,5.9,3.1,6.3,5.3,8.8,4.7,3.6,7.1,8.3,8.1,7.4,0.7,9.4,0.7,5.9,9.9,1.2,2.6,6.1,5.0,6.0,4.0,3.7,2.6,5.0,4.9,4.7,5.1,3.6,-2.0,2.3,0.4,-3.4,-6.6,-1.8,3.4,6.6,5.7,5.6,5.5,-4.4,6.6,5.6,2.5,3.2321432094791054,3.2321432094791054,3.2321432094791054,3.2321432094791054,3.2321432094791054
Czech Republic,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,2.3393939393939394,4.5,-0.5,-0.4,1.4,4.0,3.0,1.6,3.6,4.8,6.6,6.8,5.6,2.7,-4.7,2.4,1.8,-0.8,0.0,2.3,5.4,2.5,5.2,3.2,3.0,-5.5,3.6,2.4,-0.5,2.3052291934708773,2.3052291934708773,2.3052291934708773,2.3052291934708773,2.3052291934708773
Côte d'Ivoire,5.2,3.5,0.2,-2.5,-2.0,3.6,4.8,-0.5,1.1,3.0,-1.1,0.0,-0.3,-0.2,0.2,5.6,8.1,5.7,4.9,1.6,-2.1,0.1,-1.7,-1.4,1.2,1.7,1.5,1.8,2.5,3.3,2.0,-4.9,10.9,9.3,8.8,8.8,7.2,6.1,3.8,8.3,1.7,7.0,6.7,6.2,5.257743408091205,5.257743408091205,5.257743408091205,5.257743408091205,5.257743408091205
Denmark,-0.5,-0.7,3.7,2.6,4.2,4.0,4.9,0.3,0.0,0.6,1.5,1.4,2.0,0.0,5.3,3.0,2.9,3.3,2.2,2.9,3.7,0.8,0.5,0.4,2.7,2.3,3.9,0.9,-0.5,-4.9,1.9,1.3,0.2,0.9,1.6,2.3,3.2,2.8,2.0,1.5,-2.0,4.9,3.6,0.0,1.7636314811219522,1.7636314811219522,1.7636314811219522,1.7636314811219522,1.7636314811219522
Djibouti,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,2.952631578947368,-4.5,0.6,-6.8,-1.4,-3.5,-3.7,-1.2,0.1,2.9,0.7,1.8,3.2,3.2,2.8,3.1,4.8,5.0,5.8,1.6,4.1,7.3,4.8,5.0,7.1,7.5,7.1,5.5,4.8,5.5,1.2,4.8,2.5,4.0,3.4479009714520537,3.4479009714520537,3.4479009714520537,3.4479009714520537,3.4479009714520537
Dominica,13.4,10.8,4.1,2.6,4.2,1.4,7.1,6.3,7.8,-0.2,5.4,1.3,2.0,2.2,0.0,3.0,3.1,2.2,3.8,0.4,2.3,-0.1,-2.8,6.4,3.1,0.7,4.7,6.4,7.1,-1.2,0.7,-0.2,-1.1,-1.0,4.8,-2.7,2.8,-6.6,3.5,5.5,-16.6,4.8,6.0,4.9,1.200826642847113,1.200826642847113,1.200826642847113,1.200826642847113,1.200826642847113
Dominican Republic,8.0,4.3,1.7,4.6,1.3,-2.1,3.5,10.1,2.2,4.4,-5.5,0.9,11.2,7.4,2.6,5.7,6.0,8.9,6.7,5.9,4.7,2.5,4.5,-1.3,2.6,9.4,9.2,7.4,3.2,0.9,8.3,3.1,2.7,4.9,7.1,6.9,6.7,4.7,7.0,5.1,-6.7,12.3,4.9,4.2,4.593176826627223,4.593176826627223,4.593176826627223,4.593176826627223,4.593176826627223
Ecuador,4.9,3.9,1.2,-2.8,4.2,4.4,3.1,-6.0,10.5,0.3,3.0,5.1,3.6,2.0,4.3,2.3,1.7,4.3,3.3,-4.7,1.1,4.0,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.9,5.6,4.9,3.8,0.1,-1.2,2.4,1.3,0.0,-7.8,4.2,3.0,2.9,2.7102381437331755,2.7102381437331755,2.7102381437331755,2.7102381437331755,2.7102381437331755
Egypt,3.4,2.2,7.3,8.9,8.0,7.4,4.8,4.3,4.0,3.0,2.3,2.1,0.3,2.9,4.2,4.5,4.9,5.9,7.5,6.1,5.4,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,3.3,3.3,4.4,4.5,2.4,5.3,5.5,3.5,3.3,6.6,3.7,4.454398460478587,4.454398460478587,4.454398460478587,4.454398460478587,4.454398460478587
El Salvador,-8.6,-5.7,-6.3,1.5,1.3,0.6,0.2,2.5,1.9,1.0,4.8,1.5,7.0,5.8,4.7,4.7,0.8,3.1,2.7,2.2,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.9,2.1,-2.1,2.1,3.8,2.8,2.2,1.7,2.4,2.5,2.3,2.4,2.4,-8.2,10.3,2.8,2.4,1.1158504800630116,1.1158504800630116,1.1158504800630116,1.1158504800630116,1.1158504800630116
Equatorial Guinea,4.8,5.8,2.2,5.0,1.0,12.9,-2.3,4.4,2.7,-1.2,2.5,-1.2,33.0,10.5,16.8,26.5,52.7,148.0,24.8,26.4,110.5,60.0,19.6,14.5,30.4,8.2,6.5,15.3,17.8,1.3,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-6.2,-5.5,-4.2,-3.2,1.6,-1.8,11.953737638023801,11.953737638023801,11.953737638023801,11.953737638023801,11.953737638023801
Eritrea,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,3.447222222222223,12.9,20.9,2.3,9.1,7.9,2.0,0.2,-12.4,8.8,3.0,-2.7,1.5,2.6,-1.0,1.4,-19.4,12.2,10.9,25.7,1.9,-10.5,30.9,-20.6,7.4,-10.0,13.0,3.8,-0.5,2.9,2.6,2.8,3.512973800327395,3.512973800327395,3.512973800327395,3.512973800327395,3.512973800327395
Estonia,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,3.5485714285714285,-1.6,2.2,4.9,13.0,4.3,-0.4,10.1,6.0,6.8,7.6,6.8,9.5,9.8,7.6,-5.1,-14.6,2.4,7.3,3.2,1.5,3.0,1.9,3.2,5.8,3.8,3.7,-0.6,8.0,-1.3,-1.2,3.598216199253544,3.598216199253544,3.598216199253544,3.598216199253544,3.598216199253544
